winery,name,country,region,winetype,grape,rate,price,price_f,topic1,topic2,bold,sweet,acidic,link,img,full_name,wine_id
Chateau Saint-Roch,Vieilles Vignes Cotes du Roussillon Blanc 2015,프랑스,Côtes du Roussillon,White wine,Blend,3.7,"₩40,000",40000,citrus, earthy,0.465564996725953,0.0,0.4666642061832279,https://www.vivino.com/chateau-saint-roch-maury-vieilles-vignes-cotes-du-roussillon-blanc/w/1727687?year=2015&price_id=24530374,https://images.vivino.com/thumbs/PpMmF0ECRaSxgRnu0s4WLQ_pb_x600.png,Château Saint-Roch/Vieilles Vignes Côtes du Roussillon Blanc 2015,65
HXM,Inspiration Riesling 2015,독일,Rheinhessen,White wine,Riesling,3.7,"₩26,593",26593,tree fruit, citrus,0.36872705625310553,0.5152036151994874,0.9496760955199302,https://www.vivino.com/hxm-inspiration-riesling/w/2400664?year=2015&price_id=10084553,https://images.vivino.com/thumbs/O_9CtdC4Sdmq1hBWaGt7Bg_150x200.jpg,HXM/Inspiration Riesling 2015,179
Tabali,Reserva Viognier 2014,칠레,Limarí Valley,White wine,Viognier,3.7,"₩33,241",33241,tree fruit, citrus,0.44914423808266224,0.788997905610702,0.07583845720752799,https://www.vivino.com/tabali-reserva-viognier/w/1676503?year=2014&price_id=7944071,https://images.vivino.com/thumbs/fhJSpN4NQaiCiqfspfAT7Q_pb_x600.png,Tabali/Reserva Viognier 2014,360
Wolfberger,Riesling Alsace Signature 2018,프랑스,Alsace,White wine,Riesling,3.7,"₩46,538",46538,tree fruit, citrus,0.43720073407515125,0.3729664054213635,0.8752200501988161,https://www.vivino.com/wolfberger-riesling-alsace-signature/w/1145223?year=2018&price_id=21687582,https://images.vivino.com/thumbs/s00jHJxuQ1W7HOm17_9dQg_pb_x600.png,Wolfberger/Riesling Alsace Signature 2018,442
Grand Enclos du Chateau de Cerons,Graves Blanc 2009,프랑스,Graves,White wine,Blend,3.7,"₩93,076",93076,tree fruit, citrus,0.7388958408936646,0.30678944657512613,0.379227459391496,https://www.vivino.com/grand-enclos-du-chateau-de-cerons-graves-blanc/w/1158707?year=2009&price_id=10462351,https://images.vivino.com/thumbs/DodW9XOITVmnzY4anFjjDg_pb_x600.png,Grand Enclos du Château de Cérons/Graves Blanc 2009,175
Domaines Schlumberger,Les Princes Abbes Pinot Blanc Alsace 2012,프랑스,Alsace,White wine,Pinot Blanc,3.7,"₩33,241",33241,tree fruit, citrus,0.4199254422957476,0.042014310762863806,0.6280058665191036,https://www.vivino.com/domaines-schlumberger-les-princes-abbes-pinot-blanc-alsace/w/12323?year=2012&price_id=14650435,https://images.vivino.com/thumbs/nQcBtIT2QwqCPkm-TEmYJg_pb_x600.png,Domaines Schlumberger/Les Princes Abbés Pinot Blanc Alsace 2012,105
Carmel Road,Unoaked Chardonnay 2014,미국,Monterey,White wine,Chardonnay,3.7,"₩70,000",70000,tree fruit, citrus,0.9280071426495243,0.5607058827752184,0.5248748683166602,https://www.vivino.com/carmel-road-winery-unoaked-chardonnay/w/4222793?year=2014&price_id=23467302,https://images.vivino.com/thumbs/0hTy99GzTCikeoa4cWq83A_pb_x600.png,Carmel Road/Unoaked Chardonnay 2014,41
Gotas de Mar,Albarino 2014,스페인,Rías Baixas,White wine,Albariño,3.7,"₩31,912",31912,tree fruit, citrus,0.0,0.944912356896858,0.6202020882568804,https://www.vivino.com/gotas-de-mar-albarino/w/3692236?year=2014&price_id=7953583,https://images.vivino.com/thumbs/MVGfzz7lSW2tuqExeTrDRA_pb_x600.png,Gotas de Mar/Albariño 2014,173
A to Z Wineworks,Chardonnay 2016,미국,Oregon,White wine,Chardonnay,3.7,"₩55,000",55000,tree fruit, oaky,0.5776722592221902,0.0,0.6740544746079347,https://www.vivino.com/a-to-z-wineworks-chardonnay/w/8274?year=2016&price_id=24530330,https://images.vivino.com/thumbs/d2wRkKZ3TtaPF5dGM8W8IA_pb_x600.png,A to Z Wineworks/Chardonnay 2016,2
Kendall-Jackson,Vintner's Reserve Chardonnay 2008,미국,California,White wine,Chardonnay,3.7,"₩46,538",46538,oaky, tree fruit,0.9376253185319046,0.6290274819051584,0.4896420665385729,https://www.vivino.com/kendall-jackson-vintner-s-reserve-chardonnay/w/2132?year=2008&price_id=3680220,https://images.vivino.com/thumbs/20ykzlp3ToqV0sgtOzH3-A_pb_x600.png,Kendall-Jackson/Vintner's Reserve Chardonnay 2008,231
Martin Ray,Sonoma County Chardonnay 2019,미국,Sonoma County,White wine,Chardonnay,3.7,"₩50,000",50000,oaky, tree fruit,0.8580165125741744,0.4983982498299543,0.5366158329136888,https://www.vivino.com/us-martin-ray-sonoma-county-chardonnay/w/5418533?year=2019&price_id=25660936,https://images.vivino.com/thumbs/sh_LYFuoTL6bGw208yLV6g_pb_x600.png,Martin Ray/Sonoma County Chardonnay 2019,271
Hardys,Eileen Hardy Chardonnay 2013,호주,Yarra Valley,White wine,Chardonnay,3.7,"₩250,000",250000,oaky, citrus,0.6097141330923508,0.2626744651410707,0.4893336804431445,https://www.vivino.com/hardys-eileen-hardy-chardonnay/w/27784?year=2013&price_id=24530202,https://images.vivino.com/thumbs/srrsQaJ8SjKNLgGh1rSF7g_pb_x600.png,Hardys/Eileen Hardy Chardonnay 2013,181
