winery,name,country,region,winetype,grape,rate,price,price_f,topic1,topic2,bold,tannic,sweet,acidic,link,img,full_name,wine_id
Penfolds,Bin 128 Shiraz 2003,호주,Coonawarra,Red wine,Shiraz/Syrah,4.1,"₩79,780",79780.0,,,0.9628895744139159,0.5130623932467862,0.40454790331397605,0.4535821045240245,https://www.vivino.com/penfolds-bin-128-shiraz/w/1245?year=2003&price_id=2895194,https://images.vivino.com/thumbs/4ka-K_CqTK6W1n5ntGF_0Q_pb_x600.png,Penfolds/Bin 128 Shiraz 2003,629
Felton Road,Calvert Pinot Noir 2014,뉴질랜드,Central Otago,Red wine,Spätburgunder,4.1,"₩168,637",168637.0,red fruit,earthy,0.23388383457871592,0.17278288588477503,0.20583609960149893,0.6671401344166917,https://www.vivino.com/felton-road-calvert-pinot-noir/w/88319?year=2014&price_id=9476443,https://images.vivino.com/thumbs/n25bKYjCQTSGvnhX9u8Q0Q_pb_x600.png,Felton Road/Calvert Pinot Noir 2014,350
Tenuta Luce,Lucente 2005,이탈리아,Toscana,Red wine,Blend,4.1,"₩150,000",150000.0,oaky,black fruit,0.5826310257171379,0.4913912145144579,0.16370015765747925,0.4776808105125889,https://www.vivino.com/tenuta-luce-lucente/w/83596?year=2005&price_id=23466049,https://images.vivino.com/thumbs/0DrwrOzhQX2Qyyl_5srLNA_pb_x600.png,Tenuta Luce/Lucente 2005,785
Contino,Rioja Gran Reserva 2006,스페인,Rioja,Red wine,Blend,4.1,"₩400,000",400000.0,oaky,black fruit,0.7192637155982042,0.638713965494119,0.1584497278625924,0.6736483097602568,https://www.vivino.com/contino-rioja-gran-reserva/w/1387012?year=2006&price_id=23467333,https://images.vivino.com/thumbs/iScU3kclS5-2E5fUsol7iw_pb_x600.png,Contino/Rioja Gran Reserva 2006,273
Mascota Vineyards,Unanime Malbec 2018,아르헨티나,Mendoza,Red wine,Malbec,4.1,"₩120,000",120000.0,black fruit,oaky,0.7646823132814522,0.23219035857290016,0.3419820476458332,0.34375764871100406,https://www.vivino.com/mascota-vineyards-unanime-malbec/w/7607515?year=2018&price_id=26898380,https://images.vivino.com/thumbs/N3v5SlsURLWayEKlTGza_g_150x200.jpg,Mascota Vineyards/Unánime Malbec 2018,550
Mamete Prevostini,Valtellina Superiore Riserva 2015,이탈리아,Valtellina Superiore,Red wine,Nebbiolo,4.1,"₩110,805",110805.0,oaky,red fruit,0.6938484745733129,0.9071094140307802,0.38003771103523126,0.8905179389440598,https://www.vivino.com/mamete-prevostini-valtellina-superiore-riserva/w/1185004?year=2015&price_id=19070160,https://images.vivino.com/thumbs/9A1h31p0T-2O-MwShSEjHA_pb_x600.png,Mamete Prevostini/Valtellina Superiore Riserva 2015,508
Aldo Conterno,Barbera d'Alba Conca Tre Pile 2008,이탈리아,Barbera d'Alba,Red wine,Barbera,4.1,"₩90,860",90860.0,oaky,black fruit,0.6377604082020338,0.20435457320083528,0.18948963342655462,0.7298144247166215,https://www.vivino.com/aldo-conterno-barbera-d-alba-conca-tre-pile/w/75324?year=2008&price_id=10084550,https://images.vivino.com/thumbs/bt1RTK4TQauCMRckPiek3Q_pb_x600.png,Aldo Conterno/Barbera d'Alba Conca Tre Pile 2008,10
Matias Riccitelli,The Party Malbec 2017,아르헨티나,Uco Valley,Red wine,Malbec,4.1,"₩50,000",50000.0,red fruit,black fruit,0.6441157994013411,0.2835409571277619,0.48662288172520063,0.43825860166516195,https://www.vivino.com/riccitelli-the-party-malbec/w/6913498?year=2017&price_id=24530251,https://images.vivino.com/thumbs/5iARHgsbQPa8rwD8GSWtuQ_pb_x600.png,Matías Riccitelli/The Party Malbec 2017,567
Izway,Rob & Les Shiraz 2017,호주,Barossa Valley,Red wine,Shiraz/Syrah,4.1,"₩75,000",75000.0,black fruit,spices,0.9972946901939665,0.4260755639590833,0.4323736561482456,0.4010512589025981,https://www.vivino.com/izway-rob-les-shiraz/w/1526461?year=2017&price_id=29015882,https://images.vivino.com/thumbs/TrnpW0UoSZKVBKdI6PzP5w_pb_x600.png,Izway/Rob & Les Shiraz 2017,450
Chateau d'Armailhac,Pauillac (Grand Cru Classe) 2019,프랑스,Pauillac,Red wine,Cabernet Sauvignon,4.1,"₩220,000",220000.0,oaky,black fruit,0.843002233682865,0.8970070046319288,0.14481374234489752,0.8228080382519143,https://www.vivino.com/fr-chateau-darmailhac-pauillac-grand-cru-classe/w/4091?year=2019&price_id=25696285,https://images.vivino.com/thumbs/Xa4l7CUiTzSBwp025RSaig_pb_x600.png,Château d'Armailhac/Pauillac (Grand Cru Classé) 2019,248
Chateau La Marzelle,Chateau Prieure La Marzelle Saint-Emilion Grand Cru 2012,프랑스,Saint-Émilion Grand Cru,Red wine,Blend,4.1,"₩84,212",84212.0,oaky,red fruit,0.8762678056876766,0.5820667864316756,0.14051242641990763,0.5464446450663724,https://www.vivino.com/scea-chateau-la-marzelle-chateau-prieure-la-marzelle-saint-emilion-grand-cru/w/3907329?year=2012&price_id=22871467,https://images.vivino.com/thumbs/GvacGPBRRJiOXqDrvYUjRw_pb_x600.png,Château La Marzelle/Château Prieuré La Marzelle Saint-Émilion Grand Cru 2012,217
Antinori,Villa Antinori Chianti Classico Riserva 2008,이탈리아,Chianti Classico,Red wine,Sangiovese,4.1,"₩60,000",60000.0,oaky,red fruit,0.5436740586084691,0.6588480453201011,0.1132770968840861,0.702438893904437,https://www.vivino.com/antinori-tuscany-villa-antinori-chianti-classico-riserva/w/1143960?year=2008&price_id=29015859,https://images.vivino.com/thumbs/2ZPao0FaRc-Jg_3Y-3Hi8g_pb_x600.png,Antinori/Villa Antinori Chianti Classico Riserva 2008,48
Kendall-Jackson,Grand Reserve Cabernet Sauvignon 2007,미국,Sonoma County,Red wine,Cabernet Sauvignon,4.1,"₩176,000",176000.0,oaky,black fruit,1.0,0.6241859491769961,0.11483941120081126,0.44435884575517437,https://www.vivino.com/kendall-jackson-grand-reserve-cabernet-sauvignon/w/2130?year=2007&price_id=23467483,https://images.vivino.com/thumbs/y35eEPuaQJuA0Ly5A3OMrw_pb_x600.png,Kendall-Jackson/Grand Reserve Cabernet Sauvignon 2007,468
